BL,ERP패킹,엑셀패킹,엑셀출처
"COAU7265676934","BIG_BALE","small bale","GFI schedule (1).xlsx, GFI schedule.xlsx"
"COAU7265940884","(없음)","small bale / big bale","GFI schedule (1).xlsx, GFI schedule.xlsx"
"COAU7264827460","SMALL_BALE","big bale","GFI schedule (1).xlsx, GFI schedule.xlsx"
